index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,3,1,1,http://articles.economictimes.indiatimes.com/2014-10-21/news/55279590_1_oil-minister-dharmendra-pradhan-gcv-basis-ncv,41f39cfeca784d3ce5c03e594ce6b270,No
2,3,1,2,http://articles.economictimes.indiatimes.com/2014-10-20/news/55236678_1_gas-pool-account-gas-production-natural-gas,7b4ad0424cc8fb107ed9d81bcadb5c77,No
3,3,1,3,http://economictimes.indiatimes.com/industry/energy/oil-gas/ccea-likely-to-take-up-natural-gas-price-increase-today/articleshow/43312378.cms,1766cb703a595bd9e8a70a40b0da9770,No
4,3,1,4,http://articles.economictimes.indiatimes.com/2014-06-26/news/50884578_1_gas-price-hike-ril-ongc,f008a7cc61224cf591941aec04438917,No
5,3,1,5,http://articles.economictimes.indiatimes.com/2014-07-17/news/51657080_1_arbitration-notice-kg-d6-second-arbitration,f0ec55aa4a03358059568a6c7596f5db,No
6,3,1,6,http://articles.economictimes.indiatimes.com/2014-05-05/news/49634183_1_kg-d6-3-gas-fields-oil-ministry,202de09d455c94df8cb3ad2df9c7c9c5,No
7,3,1,7,http://articles.economictimes.indiatimes.com/2014-05-15/news/49873455_1_natural-gas-corporation-ongc-and-ril-krishna-godavri,746fbc54a9f9bfdf687a9f3ad58fcf9c,No
8,3,1,8,http://articles.economictimes.indiatimes.com/2014-11-04/news/55757527_1_kg-d6-block-niko-resources-r-cluster,517556198f22192042fb704b4298c984,No
9,3,1,9,http://articles.economictimes.indiatimes.com/2013-06-28/news/40255769_1_oil-gas-gas-production-oil-india-ltd,f0d1777ffcc7d76c37b0b5e64acf6030,No
10,3,1,10,http://articles.economictimes.indiatimes.com/2014-06-26/news/50884963_1_gas-prices-reliance-industries-cabinet-defers-decision,243425b5af56542126c54d53d12ee334,No
11,3,6,1,http://articles.economictimes.indiatimes.com/2014-01-06/news/45918589_1_gas-prices-gas-production-69-43-mmscmd,651d1cdc24f1ba6ec1c27f70fc756cd2,No
12,3,6,2,http://articles.economictimes.indiatimes.com/2014-05-10/news/49757799_1_delhi-high-court-kg-d6-arvind-kejriwal,e251895141838deceef3c42de8472177,No
13,3,6,3,http://articles.economictimes.indiatimes.com/2014-09-18/news/54068215_1_kg-basin-gas-pricing-krishna-godavri,f0ea9e03ba98e3c38a643b88a65b8dbe,No
14,3,6,4,http://articles.economictimes.indiatimes.com/2014-08-19/news/52983429_1_delhi-hc-acb-delhi-high-court,ff7ba2e3ef83ad9050c348661ba93d5d,No
