index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,6,1,1,http://www.dnaindia.com/money/report-government-finally-bites-the-bullet-raises-natural-gas-price-to-us-561unit-2027321,3f5793cc95d82e960a2b25a6c0a96f64,No
2,6,1,2,http://www.dnaindia.com/money/report-natural-gas-price-to-double-booty-for-ongc-oil-reliance-1854230,d623a7e1528113e4d76bb020b955e624,No
3,6,1,3,http://www.dnaindia.com/india/report-arvind-kejriwal-launches-attack-on-reliance-s-mukesh-ambani-over-gas-pricing-issue-1961044,a2e5467b495022a236c325f77f9256dc,No
4,6,1,4,http://www.dnaindia.com/india/report-arvind-kejriwal-asks-narendra-modi-to-come-clean-on-gas-pricing-1964063,c5aea0fa35c558f8d6927547e88c01a1,No
5,6,1,5,http://www.dnaindia.com/india/report-fuel-price-deregulation-may-bring-down-prices-but-rise-in-cooking-gas-cost-a-spoiler-2027414,f7e3da665163ac9626d60953255216f5,No
6,6,1,6,http://www.dnaindia.com/money/report-govt-okays-gas-price-hike-for-ril-s-kg-d6-1938014,3b7c64c76f7374bd975b303b354d6a0b,No
7,6,1,7,http://www.dnaindia.com/money/report-oil-ministry-wants-reliance-to-sell-kg-d6-gas-at-42-till-its-compensates-for-low-supply-in-past-four-years-2007597,d4e4fd30fc95aaef6ed50e904c6dd2f3,No
8,6,1,8,http://www.dnaindia.com/india/report-government-returns-reliance-industries-ltd-s-bank-guarantee-for-new-gas-price-1984333,5f4e988b3adf3352e114afb8561afe1c,No
9,6,1,9,http://www.dnaindia.com/money/report-gas-pricing-issue-to-be-sorted-after-budget-session-reliance-ongc-and-cairn-have-longer-wait-2009715,ec6e807d5807cebfbd293ed7d760bc6b,No
10,6,1,10,http://www.dnaindia.com/money/report-oil-ministry-asks-gail-cpcl-to-stop-payment-to-reliance-2002155,43355eb9f7c0e3c0de607e21c4501a42,No
11,6,6,1,http://www.dnaindia.com/india/standpoint-iraq-a-crisis-of-oil-or-of-confidence-for-india-1996976,16c8d5c81558bd7054c92cf6b9128494,No
12,6,6,2,http://www.dnaindia.com/money/report-india-inc-sees-reforms-push-better-growth-prospects-icra-2048441,9e48ecdcf8a7a5975a3e1c393946e7f5,No
