index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,10,1,1,http://www.dailypioneer.com/business/consumers-to-brace-up-for-20-increase-in-power-tariff.html,a8e33c8fc5274c979a76f26d7fb871a6,No
2,11,1,2,http://www.dailypioneer.com/todays-newspaper/fm-cautions-moily-over-kg-basin.html,3f8d3018dc0614d64647eca23a3403cd,No
3,12,1,3,http://www.dailypioneer.com/nation/kg-basin-row-tapan-sen-seeks-pms-intervention.html,0f101698c418bf6168aba272b8cd4c5b,No
4,13,1,4,http://www.dailypioneer.com/todays-newspaper/ram-teri-ganga-moily.html,ec13b430c13fc06ff28e978ea55be17f,No
