index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,7,1,1,http://www.business-standard.com/article/companies/10-things-you-should-know-about-the-reliance-kg-d6-gas-deal-114021200357_1.html,468017391a4c6f16a2fc49c9bdbaa11d,No
2,7,1,2,http://www.business-standard.com/article/companies/reliance-gets-relief-on-gas-arbitration-114052801025_1.html,a5081aab0c5446d47414cf4f54d6cfc1,No
3,7,1,3,http://www.business-standard.com/article/opinion/why-are-investors-wary-of-reliance-industries-114120500113_1.html,1cd2af9c8f44da3a961de4039a57fac7,Yes
4,7,1,4,http://www.business-standard.com/article/economy-policy/supreme-court-asks-govt-to-clarify-stand-on-gas-pricing-114091900038_1.html,390d4e2a0a27daa42756277fb88dfaa5,No
5,7,1,5,http://www.business-standard.com/article/companies/rangarajan-should-take-the-blame-for-reliance-s-fresh-googly-on-gas-price-hike-114032400606_1.html,298780bb41c9a25b91e55cdc2af81bfc,No
6,7,1,6,http://www.business-standard.com/article/economy-policy/natural-gas-price-fixed-at-5-61-114101800789_1.html,a60107ab96e84c4f9c949d35a3b43098,No
7,7,1,7,http://www.business-standard.com/article/companies/ethane-import-could-save-ril-rs-2-000-crore-a-year-114082500035_1.html,77ec66ccf72e17bbfb556a8f69a04dab,No
8,7,1,8,http://www.business-standard.com/article/economy-policy/domestic-gas-production-to-rise-by-two-thirds-over-5-years-oil-min-114100800663_1.html,9dfb5e12e8f18cd5de14e1800cee049a,No
9,7,1,9,http://www.business-standard.com/article/companies/ril-to-invest-5-1-bn-in-us-shale-gas-biz-113072100282_1.html,20e2f163c189b35afdad519158aa18fd,No
10,7,1,10,http://www.business-standard.com/article/companies/reliance-essar-could-spell-trouble-for-state-fuel-retailers-114102901398_1.html,8012bc8de0b11c3b28b86df56b92079d,No
11,7,2,1,http://www.business-standard.com/article/economy-policy/here-s-why-bangladesh-s-gas-price-is-not-valid-in-india-114040400848_1.html,bb88dfebe4e24248522bd3ca145bd417,No
12,7,2,2,http://www.business-standard.com/article/economy-policy/why-ril-is-betting-big-on-us-shale-gas-113072200688_1.html,282d8c8ac489a7c1160f8a0953c7ffc2,No
13,7,2,3,http://www.business-standard.com/article/economy-policy/what-s-the-real-price-of-gas-113072300692_1.html,7a3c162bd03f27067b6e0f0ff7670650,No
14,7,2,4,http://www.business-standard.com/article/economy-policy/what-the-gas-price-hike-means-113062800310_1.html,63aced4586750c3aac0c09326c2fe664,No
15,7,2,5,http://www.business-standard.com/article/markets/bse-oil-and-gas-index-down-3-114120100592_1.html,7539ea1fc966cc32373707aabbf9ab43,No
16,7,2,6,http://www.business-standard.com/article/companies/new-york-fracking-ban-is-bad-news-for-ril-shale-gas-producers-114122000112_1.html,f0d460f22a9acce1271a4d2ec48349ae,No
17,7,2,7,http://www.business-standard.com/article/companies/falling-crude-oil-price-valuation-of-foreign-energy-assets-declines-114121200019_1.html,262a41afd47dc40c1b2d246a7360e277,No
18,7,2,8,http://www.business-standard.com/article/companies/global-ceos-find-india-frustrating-but-irresistible-114091900943_1.html,4ea6ab0e125913bd280d763d90b9c168,No
19,7,2,9,http://www.business-standard.com/article/company/bad-news-rains-on-reliance-114072501077_1.html,68a31955ee790fc8cd98e8e6e1693c6a,No
20,7,2,10,http://www.business-standard.com/article/companies/ril-denies-theft-of-ongc-gas-114052301351_1.html,352d2d039eb9684740678dae47769019,No
21,7,3,1,http://www.business-standard.com/article/economy-policy/why-power-and-urea-industry-may-not-find-gas-price-hike-viable-114080700224_1.html,d0420fbb0a6e796cf3507e4ec2f9208d,No
22,7,3,2,http://www.business-standard.com/article/companies/ongc-takes-ril-to-court-over-gas-theft-114051501305_1.html,f9c4dc2fe18e281f99ba14fb91193df5,No
23,7,3,3,http://www.business-standard.com/article/opinion/jyoti-mukul-formula-for-an-unbalanced-equation-113011100082_1.html,8d41e50517e272d6f09bb2a9fee5834b,Yes
24,7,3,4,http://www.business-standard.com/article/pf/energy-sector-will-continue-to-suffer-114021600628_1.html,1743d743cf484ab9b7627bafb7330959,No
25,7,3,5,http://www.business-standard.com/article/companies/oil-marketing-companies-brace-for-competition-114102000005_1.html,cd67b2ec622d550aa214c32fcbce5117,No
26,7,3,6,http://www.business-standard.com/article/markets/crude-oil-natural-gas-outlook-oil-outlook-bleak-gas-prices-to-be-firm-114020900830_1.html,fffdccb0ee9ae22a4c94acdca9abebf2,No
27,7,3,7,http://www.business-standard.com/article/economy-policy/pvt-fuel-retailers-eye-bulk-business-113011900068_1.html,bb7455f996aa10bd891fb5e9d2215e8f,No
28,7,3,8,http://www.business-standard.com/article/companies/status-report-on-ril-arbitrations-sent-to-pmo-114121700825_1.html,0f4de54aa7b5888d0b607aa40c33794b,No
29,7,3,9,http://www.business-standard.com/article/economy-policy/gas-price-review-likely-to-cover-uniform-pricing-114072900196_1.html,f9ef4a8769a86379538b3764c55f006d,No
30,7,3,10,http://www.business-standard.com/article/companies/what-is-spectrum-auction-all-about-114020700227_1.html,3fe4526dc2e3a83c36d77fc6857579cf,No
