index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,3,1,1,http://articles.economictimes.indiatimes.com/2012-02-03/news/31021473_1_crore-in-corporate-guarantees-telecom-licences-dent-investor-confidence,1cfe24b2402ef6e702ad49c269fb35d2,No
2,3,1,2,http://articles.economictimes.indiatimes.com/2011-05-20/news/29564996_1_spectrum-case-dmk-mp-kanimozhi-court-in-2g-scam,25d5b32a84e11116504d206ff1ba199d,No
3,3,1,3,http://articles.economictimes.indiatimes.com/2010-11-10/news/27620157_1_report-on-2g-spectrum-spectrum-allotment-comptroller-and-auditor-general,e6bf2595824361e1e1a3cb1a9a6754ea,No
4,3,1,4,http://articles.economictimes.indiatimes.com/2011-05-20/news/29564752_1_2g-spectrum-case-licence-fee,567756dc2a07bdebd21e3a06e9d2da51,No
5,3,1,5,http://articles.economictimes.indiatimes.com/2011-04-02/news/29374522_1_charge-sheet-shahid-usman-balwa-cbi-files-chargesheet,1555da89d35f357f449141c8a12a391e,No
6,3,1,6,http://articles.economictimes.indiatimes.com/2011-07-27/news/29820843_1_2g-telecom-minister-swan-and-unitech,323aadc04fca21fae7b0883e040158cb,No
7,3,1,7,http://articles.economictimes.indiatimes.com/2011-09-30/news/30228808_1_swan-telecom-adag-s-gautam-doshi-spectrum-scam,e8198a166a95710eaea96d269406859a,No
8,3,1,8,http://articles.economictimes.indiatimes.com/2011-04-24/news/29469151_1_charge-sheet-surendra-pipara-cineyug-films-pvt,23ad2bf884fe2f18ced44bdb507009bd,No
9,3,1,9,http://articles.economictimes.indiatimes.com/2010-12-16/news/27573434_1_baijal-radia-s-pr-trai-chairman,1491222945238e50bd308e44b788062e,No
10,3,1,10,http://articles.economictimes.indiatimes.com/2011-02-11/news/28539364_1_shahid-usman-balwa-db-vinod-goenka,5de84c6371556ed34c30eae2fce71ac6,No
11,3,6,1,http://articles.economictimes.indiatimes.com/2011-04-28/news/29482782_1_second-chargesheet-first-charge-sheet-2g,b2fcfabac9549fe8073747c839c2009c,No
12,3,6,2,http://articles.economictimes.indiatimes.com/2011-10-22/news/30309848_1_2g-exchequer-loss-or-quantification,0d7aaba81a7d05618ae46b80b533a8bb,No
13,3,6,3,http://articles.economictimes.indiatimes.com/2011-08-12/news/29880525_1_rk-chandolia-kanimozhi-op-saini,01990d45b45ef36399a8f95c721ff748,No
14,3,6,4,http://articles.economictimes.indiatimes.com/2011-02-21/news/28618027_1_share-capital-cbi-questions-spectrum-probe,0ff0d5db904518f7a73cdd20d3dcbf42,No
15,3,6,5,http://articles.economictimes.indiatimes.com/2011-04-16/news/29425297_1_spectrum-case-spectrum-scam-swan-telecom,624bf6cd781e616d098dfb0d02baba1e,No
16,3,6,6,http://articles.economictimes.indiatimes.com/2011-09-25/news/30200725_1_uti-scam-cbi-probe-nda-regime,627541eeaf1221be23f9ed236a86e26c,No
17,3,6,7,http://articles.economictimes.indiatimes.com/2011-03-04/news/28657564_1_spectrum-case-cineyug-films-2g,91485281ea2acdcf76543eb5a0cabcbb,No
18,3,6,8,http://articles.economictimes.indiatimes.com/2011-08-26/news/29931893_1_reliance-mediaworks-spectrum-scam-rcom-and-r-infra,24cfa09a4434a3833094ea72aa075c43,No
19,3,6,9,http://articles.economictimes.indiatimes.com/2011-12-24/news/30554705_1_sign-up-3g-customers-offer-3g-services-tata-teleservices-and-aircel,0259da43f61d213ba214e0f4a2db22f7,No
20,3,6,10,http://articles.economictimes.indiatimes.com/2010-12-10/news/27617221_1_green-house-promoters-rp-paramesh-kumar-andimuthu-raja,d70a5d38b366a626a7dc88c7103b7a34,No
21,3,8,1,http://articles.economictimes.indiatimes.com/2010-11-18/news/27580770_1_land-scams-industrial-land-adarsh-society-scam,6422f208dff3634aa52e169a19bb3be4,No
