index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,7,1,1,http://www.business-standard.com/article/markets/sun-tv-network-plunges-on-buzz-of-cbi-inquiry-111060200155_1.html,3de98854e389fc4830bafc1179723c92,No
2,7,1,2,http://www.business-standard.com/article/companies/2g-scam-db-realty-unitech-stocks-hammered-on-nse-111042000234_1.html,0888fa679e2076c7df5459723d01970d,No
3,7,1,3,http://www.business-standard.com/article/economy-policy/cbi-2g-charge-sheet-names-kanimozhi-as-co-conspirator-111042600061_1.html,289be8855492ae7e0835ac79ea199fdd,No
4,7,1,4,http://www.business-standard.com/article/technology/-aircel-is-not-for-sale-112013000071_1.html,06ca51da0c2a83330271f32f451ae9e2,No
5,7,1,5,http://www.business-standard.com/article/current-affairs/in-the-line-of-fire-shyamal-ghosh-111112000016_1.html,d0e4aac7ea19a2179b601caf8723ee86,No
6,7,1,6,http://www.business-standard.com/article/economy-policy/sc-dissatisfied-over-it-probe-into-2g-scam-111050500228_1.html,627530e64f62fa1d92c7390545545e50,No
7,7,1,7,http://www.business-standard.com/article/economy-policy/2g-scam-cbi-probes-anil-ambani-111092900164_1.html,a5e93028540832755071fe2c07df4187,No
8,7,1,8,http://www.business-standard.com/article/economy-policy/cbi-chargesheet-names-raja-telcos-executives-111040300008_1.html,9d7c2d853a1471c8cdb73af084cdf1f0,No
9,7,1,9,http://www.business-standard.com/article/economy-policy/all-out-war-in-pac-over-2g-issue-111041500158_1.html,a40b8873733df7fdb1d6fb7fd5054e22,No
10,7,1,10,http://www.business-standard.com/article/markets/the-ups-and-downs-in-the-db-realty-story-111021000113_1.html,6736ded622350e9c4c66dcc77af0cab0,No
11,7,2,1,http://www.business-standard.com/article/companies/fifth-member-quits-db-board-111042600079_1.html,045765b495e410718b851448ef423a47,No
12,7,2,2,http://www.business-standard.com/article/markets/sun-tv-network-dips-4-on-worries-of-state-action-111070700166_1.html,c7a6b826c5bce53560f469d7758c6874,No
13,7,2,3,http://www.business-standard.com/article/economy-policy/2g-licence-renewal-may-cost-telecom-firms-rs-1-lakh-cr-110052100036_1.html,b7870531f6f85eb7f7bc5871ce2f63e0,No
14,7,2,4,http://www.business-standard.com/article/economy-policy/pawar-denies-swan-link-to-look-at-legal-options-111041500052_1.html,871faa2ebee877de057eb465aea2baf6,No
15,7,2,5,http://www.business-standard.com/article/opinion/shyam-ponappa-understanding-spectrum-110030400039_1.html,a3004188695b0a6ec73c614f6c7d7b15,Yes
16,7,2,6,http://www.business-standard.com/article/economy-policy/cag-to-go-public-with-audit-reports-on-flagship-schemes-111070300021_1.html,e7a7f0d2edfd1668e2534f8725c88f38,No
17,7,2,7,http://www.business-standard.com/article/economy-policy/followed-my-master-raja-s-orders-former-pvt-secy-to-raja-111072900120_1.html,8ea21353d3674020120156ec4a2ba40d,No
18,7,2,8,http://www.business-standard.com/article/economy-policy/newsmaker-kanimozhi-dmk-mp-111042900006_1.html,306c029cca1565d951d2913c1cda1550,No
19,7,2,9,http://www.business-standard.com/article/markets/markets-move-downwards-111042800154_1.html,a3276154218c3362602b56fb33b51149,No
20,7,2,10,http://www.business-standard.com/article/companies/everonn-shares-dip-chairman-quits-after-md-s-arrest-111090300021_1.html,5e973cc3c9c19153fb798309b48cc4df,No
