index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,1,1,1,http://www.hindustantimes.com/delhi/what-caused-the-2g-scam/story-cdtCw66cMOmViPH2zcWcwL.html,61b93fda8623ee6823ddb377a5ea0e84,No
2,1,1,2,http://www.hindustantimes.com/delhi/no-scam-no-loss-in-2g-spectrum-sale-kapil-sibal/story-MrIqGH3B3bXQb9bVN7rZ7K.html,35535638e4ad067bf3efef476e0bb396,No
3,1,1,3,http://www.hindustantimes.com/delhi/what-is-2g-scam-all-about/story-YbzR60SdNJ48YnSC9LjjSK.html,849ca93aa0a0b42664cc49b7f238656c,No
4,1,1,4,http://www.hindustantimes.com/delhi/what-the-2g-spectrum-case-is-all-about/story-Up52PvTGaefV4AAzTUHJDI.html,0ead4555e5b19d003a843bcac6409da4,No
5,1,1,5,http://www.hindustantimes.com/business/full-text-of-ratan-tata-s-letter-on-2g-scam/story-ErktJhixeT0dGpXDgN4QGP.html,110747e7b998c6ec3f1a079a0b25db82,No
6,1,1,6,http://www.hindustantimes.com/india/chidambaram-is-a-traitor-swamy/story-iii0gg7oD8Gjcb55PWTFkP.html,a0d700257e70fb1af3bbb00e4b1d8c68,No
7,1,1,7,http://www.hindustantimes.com/delhi/dmk-family-takes-a-hit-kanimozhi-charged-and-summoned/story-ecwmTLjyvBVJ3O4lzAToiJ.html,bba90265824bbe4203ff5e53bfff4098,No
8,1,1,8,http://www.hindustantimes.com/delhi/upa-corruption-vs-nda-corruption/story-CM1Xebm8YkPczVSnh17ylO.html,de12924beca414d634ae5ef38b42b691,No
9,1,1,9,http://www.hindustantimes.com/india/cbi-casts-2g-scam-probe-net-wider-pulls-in-nda/story-sLgATKz4T33m9NqD26HEoO.html,0dfdce004f2d499d1619a0de9f95b8d7,No
10,1,1,10,http://www.hindustantimes.com/delhi/2g-swamy-moves-sc-against-pc-trial-court-order/story-0rm6W2GzPnYtJn5tuQtmeJ.html,bf938b4799222cf1d23f39ef3e53cf96,No
11,1,2,2,http://blogs.hindustantimes.com/just-people/2011/05/17/corruption-the-key-issue/,4c8f1d4eb67c69a4e7b402c2fdbd2f19,Yes
12,1,2,3,http://www.hindustantimes.com/delhi/summons-through-sms-e-mail-valid-2g-case-court/story-A1iBVVGJVvOWChnu0vnQGI.html,1eff04cf32597aa57b51381b54296ff5,No
13,1,2,4,http://www.hindustantimes.com/delhi/2g-case-kanimozhi-4-others-to-walk-out-of-tihar/story-iS4NX1j3BWaKI7jRPaKhkK.html,f17fbfbe54d0a3b26118ac2df3f80c22,No
14,1,2,5,http://www.hindustantimes.com/india/mumbai-don-s-sons-have-stake-in-balwa-company/story-wnbvbqAkgiV6x9XzYMLVLN.html,5593a8849d3842cd5a3d74e90966872d,No
15,1,2,6,http://www.hindustantimes.com/delhi/justice-ajit-bharihoke-retires/story-yG40ozCp4GKLauvE77Q0nK.html,3cc85d402ac156ba03cb83bca9e17c20,No
16,1,2,7,http://www.hindustantimes.com/delhi/dmk-breaks-alliance-with-congress-but-not-ties/story-ymShi0PAq1z08abeSc4LVK.html,24bc8fd7391baad4327c99789d4eb2e4,No
17,1,2,8,http://blogs.hindustantimes.com/inside-story/2012/02/22/nia-trying-too-hard-to-prove-itself/,953e52b0437cea549962e5a839438310,Yes
18,1,2,9,http://www.hindustantimes.com/delhi/is-shahid-balwa-dawood-s-aide/story-Qdgum6tR3CNRLBlOFhUecI.html,72dae48f904ed513085533a12eb6ad34,No
