index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,18,1,3,http://www.ibnlive.com/news/india/cbi-sot-radia-vo-354775.html,e0d28b6936adb0902372a13c07c2a9fd,No
2,18,1,4,http://www.ibnlive.com/news/politics/alerts-109-353312.html,02199e27a713dc1d8e1bbe12721e9298,No
3,18,1,5,http://www.ibnlive.com/news/india/2g-nripendra-raja-436116.html,55dcfa1202dc9cb461c76492afd0653d,No
4,18,1,6,http://www.ibnlive.com/news/business/ed-notice-to-2g-operators-352928.html,7571268ed2d50ff1a9d5a51bbfea9cbd,No
5,18,1,7,http://www.ibnlive.com/news/business/details-of-122-2g-licences-cancelled-by-sc-442891.html,d70a1c94d659060aa62f84599e56b42c,No
6,18,1,8,http://www.ibnlive.com/news/politics/chandolia-352697.html,09d15f9406b4b5e04e6769e9967565dd,No
7,18,2,1,http://www.ibnlive.com/news/india/cag-pac-summon-355892.html,ba7441d386f406649869d475c0a594a5,No
8,18,2,2,http://www.ibnlive.com/news/business/uninor-statement-442876.html,3501fa86b1365f2194ad4ffe8aace482,No
9,18,2,6,http://www.ibnlive.com/news/politics/i-dont-know-nira-radia-koda-354904.html,9758b20bd0660241ee89e1a612d8f6fa,No
10,18,2,7,http://www.ibnlive.com/news/india/who-is-niira-radia-who-is-pradip-baijal-354717.html,06794576220c3de778fc37feb36ebcf9,No
11,18,2,8,http://www.ibnlive.com/news/business/db-realty-3-435978.html,260ce4e502733793e497142cdeb61b94,No
12,18,2,9,http://www.ibnlive.com/news/india/list-of-122-cancelled-2g-licences-are-you-are-affected-442939.html,6ff585966d560d8f34abb79213ab54c1,No
13,18,2,10,http://www.ibnlive.com/news/politics/2g-trial-adjourned-433539.html,830f9c0a0696b38cfb3572797d060dac,No
14,18,3,1,http://www.ibnlive.com/news/india/2g-case-lawyer-under-scanner-for-misconduct-384671.html,36766908186b3d0af78d27b18fd4fd57,No
15,18,3,2,http://www.ibnlive.com/news/politics/students-survey-puts-aiadmk-ahead-in-tamil-nadu-364995.html,9d63d01f250f668f80451c3f21b88175,No
16,18,3,3,http://www.ibnlive.com/news/india/full-text-justice-shivraj-patil-committee-report-on-2g-spectrum-allocation-361168.html,4ac05e92958229488d4f19fd4fbc2121,No
17,18,3,4,http://www.ibnlive.com/news/india/sonata-investment-ltd-was-part-of-radag-witness-446298.html,7da5d3dd356a1c1118ae47cd572540ec,No
