index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,15,1,1,http://www.ndtv.com/india-news/2g-spectrum-scam-cbi-raids-residence-of-senior-tamil-journalist-442033,224967a87818e59a4ab3734520a7b6ad,No
2,15,1,2,http://www.ndtv.com/india-news/2g-spectrum-scam-shes-a-woman-give-her-bail-says-kanimozhis-lawyer-jethmalani-454999,ef2c7c5e82ca77728d42091360a3a0cc,No
3,15,1,3,http://www.ndtv.com/india-news/2g-scam-how-raja-allegedly-robbed-india-439467,9b819bb7319013428c9960586c6c73f7,No
4,15,1,4,http://www.ndtv.com/india-news/2g-spectrum-scam-cbi-raids-dmk-owned-kalaignar-tv-office-447996,daa6f3c5c49931afddeb09fe043b495e,No
5,15,1,5,http://www.ndtv.com/india-news/supreme-court-verdict-on-monitoring-of-2g-spectrum-scam-probe-today-442097,60132782df12bb52ffe19a239a24aded,No
6,15,1,6,http://www.ndtv.com/india-news/2g-spectrum-scam-prime-minister-breaks-his-silence-439781,0b78a47edd9f9ab176dfcebb32eabfc8,No
7,15,1,7,http://www.ndtv.com/india-news/2g-spectrum-scam-jpc-to-have-30-members-448393,7a17d5fc3f700c72cd15791f49ffb774,No
8,15,1,8,http://www.ndtv.com/india-news/2g-spectrum-scam-former-telecom-minister-a-raja-arrested-446708,e3806951e8b841dee001d47b543cb0c5,No
9,15,1,9,http://www.ndtv.com/india-news/2g-spectrum-scam-cbi-questions-niira-radia-but-at-home-442524,f691bf9c89785676ffc2f776e4caa1d3,No
10,15,1,10,http://www.ndtv.com/india-news/cbi-to-question-kanimozhi-in-2g-scam-relief-for-baijal-sources-448797,c34a698271c142844c090c891d5c7910,No
11,15,6,1,http://www.ndtv.com/india-news/2g-scam-cbi-seeks-extension-of-a-raja-and-shahid-balwas-custody-447711,7e51889f9721a541ffc4171614b7f40d,No
12,15,6,2,http://www.ndtv.com/india-news/2g-scam-kanimozhis-bail-plea-adjourned-till-may-20-455767,0701080c997b2b823ee8bea46342b01b,No
13,15,6,3,http://www.ndtv.com/india-news/2g-spectrum-probe-arun-shourie-to-appear-before-cbi-on-feb-21-447657,345575bd591f098e09314fd1e4126f2f,No
14,15,6,4,http://www.ndtv.com/india-news/2g-scam-kapil-sibal-likely-to-get-telecom-portfolio-say-sources-439273,912a67769e5690d004840e9b69ddfbaf,No
15,15,6,5,http://www.ndtv.com/india-news/raja-arrest-wont-matter-to-rural-voters-dmk-sources-446728,67c6f41d501843cd86051069bff8c0e5,No
16,15,6,6,http://www.ndtv.com/india-news/cbi-to-question-kanimozhi-before-march-31-449592,d36e1e12c6f35d9a333d8e851b7ff4ff,No
17,15,6,7,http://www.ndtv.com/india-news/etisalat-denies-involvement-in-2g-scam-447365,03d19bb9c98f58f682ffae0a086d8bbb,No
18,15,6,8,http://www.ndtv.com/india-news/a-land-deal-thats-being-used-to-target-ajit-pawar-453523,43b09b5891e95df0074d34856a948562,No
19,15,6,9,http://www.ndtv.com/india-news/2g-scam-cbi-investigates-role-of-bjp-leaders-466327,2328dba50ac2f93277497d95c78f34d5,No
20,15,6,10,http://www.ndtv.com/india-news/2g-scam-ex-telecom-secretary-siddharth-behuras-bail-plea-rejected-464319,da04a95f6da0554cf0961a200cbee9d8,No
21,15,8,1,http://www.ndtv.com/india-news/2g-scam-supreme-court-questions-rajas-decision-to-ignore-pms-reservations-440763,c652b5b5f9b228e03f0f3187f920bdad,No
22,15,8,2,http://www.ndtv.com/india-news/winter-session-of-parliament-begins-today-opposition-to-corner-govt-on-scams-438646,6714f50e03ca54cbe86136463edd6ba4,No
23,15,8,3,http://www.ndtv.com/india-news/2g-scam-a-step-closer-to-rajas-prosecution-444266,6e62fd39b09dadd926275b9adac5d974,No
24,15,8,4,http://www.ndtv.com/india-news/2g-scam-tata-group-responds-to-adag-allegations-447724,85ddf1c22c154a71da2fbdda125cba52,No
25,15,8,5,http://www.ndtv.com/india-news/2g-scam-cbi-arrests-shahid-balwas-brother-asif-balwa-451470,87a0ba8b6e750f4dc84ec3ae9fef9228,No
